ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,2046,,기초 소재,다종 조립 제품,,,Luoyang Bearing A,
,심천,2641,,기초 소재,조립식 플라스틱과 고무,,,Yonggao A,
,심천,2781,,기초 소재,컨테이너와 포장,,,Shenzhen Qixin A,
,상하이,603667,,기초 소재,다종 조립 제품,,,Zhejiang XCC,
,심천,2877,,기초 소재,다종 조립 제품,,,Wuxi Smart Auto-control,
,상하이,603937,,기초 소재,금속 광업,,,Jiangsu Lidao New Material,
,심천,731,,기초 소재,화학제조,,,Sc Meifeng A,
,심천,2300,,기초 소재,다종 조립 제품,,,Fj Nanping Sun A,
,상하이,600532,,기초 소재,금속 광업,,,Shanghai Hongda Mining,
,심천,300428,,기초 소재,금속 광업,,,Hebei Sitong New Metal,
,심천,300470,,기초 소재,조립식 플라스틱과 고무,,,Sichuan Sunny Seal,
,심천,300082,,기초 소재,화학제조,,,Liaoning Oxiranchem Inc,
,심천,2361,,기초 소재,화학 제품 – 플라스틱과 고무,,,Anhui Shenjian New Materials Co Ltd,
,심천,300067,,기초 소재,화학제조,,,Shanghai Anoky Group,
,심천,300346,,기초 소재,화학제조,,,Jiangsu Nata Opto Electr Material,
,심천,2274,,기초 소재,화학제조,,,Huachang Chem A,
,심천,2235,,기초 소재,종이와 종이 제품,,,Xiamen Anne Corp Ltd,
,심천,300583,,기초 소재,화학제조,,,Shandong Sito Bio,
,상하이,603585,,기초 소재,화학제조,,,Suli,
,상하이,603239,,기초 소재,조립식 플라스틱과 고무,,,Zhejiang Xiantong,
,상하이,603181,,기초 소재,화학제조,,,Zhejiang Huangma Tech,
,심천,2160,,기초 소재,다종 조립 제품,,,Jiangsu Alcha A,
,심천,545,,기초 소재,화학제조,,,Gpro Titanium A,
,심천,2645,,기초 소재,컨테이너와 포장,,,Jiangsu Huahong Technology Co Ltd,
,심천,300328,,기초 소재,금속 광업,,,Dongguan Eontec,
,심천,2379,,기초 소재,금속 광업,,,Loften Environmental A,
,심천,2734,,기초 소재,화학제조,,,Limin Chemical Co Ltd,
,심천,300641,,기초 소재,화학제조,,,Jiangsu Zhengdan Chemical,
,심천,2455,,기초 소재,화학제조,,,Baichuan Chem A,
,심천,2014,,기초 소재,컨테이너와 포장,,,Huangshan Novel A,
,상하이,600722,,기초 소재,화학 제품 – 플라스틱과 고무,,,HeBei Jinniu Chemical,
,심천,2842,,기초 소재,화학제조,,,Guangdong Xianglu Tungsten,
,심천,833,,기초 소재,종이와 종이 제품,,,Guitang A,
