Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Huilong Agri Pro A,2556,심천,기초 소재,화학제조,O,null,null
Hubei Huitian New Materials,300041,심천,기초 소재,화학제조,O,null,null
Yibin Tianyuan Group Co Ltd,2386,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Luoyang Bearing A,2046,심천,기초 소재,다종 조립 제품,O,null,null
Yonggao A,2641,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Shenzhen Qixin A,2781,심천,기초 소재,컨테이너와 포장,O,null,null
Zhejiang XCC,603667,상하이,기초 소재,다종 조립 제품,O,null,null
Wuxi Smart Auto-control,2877,심천,기초 소재,다종 조립 제품,O,null,null
Jiangsu Lidao New Material,603937,상하이,기초 소재,금속 광업,O,null,null
Sc Meifeng A,731,심천,기초 소재,화학제조,O,null,null
Fj Nanping Sun A,2300,심천,기초 소재,다종 조립 제품,O,null,null
Shanghai Hongda Mining,600532,상하이,기초 소재,금속 광업,O,null,null
Hebei Sitong New Metal,300428,심천,기초 소재,금속 광업,O,null,null
Sichuan Sunny Seal,300470,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Liaoning Oxiranchem Inc,300082,심천,기초 소재,화학제조,O,null,null
Anhui Shenjian New Materials Co Ltd,2361,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Shanghai Anoky Group,300067,심천,기초 소재,화학제조,O,null,null
Jiangsu Nata Opto Electr Material,300346,심천,기초 소재,화학제조,O,null,null
Huachang Chem A,2274,심천,기초 소재,화학제조,O,null,null
Xiamen Anne Corp Ltd,2235,심천,기초 소재,종이와 종이 제품,O,null,null
Shandong Sito Bio,300583,심천,기초 소재,화학제조,O,null,null
Suli,603585,상하이,기초 소재,화학제조,O,null,null
Zhejiang Xiantong,603239,상하이,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Huangma Tech,603181,상하이,기초 소재,화학제조,O,null,null
Jiangsu Alcha A,2160,심천,기초 소재,다종 조립 제품,O,null,null
Gpro Titanium A,545,심천,기초 소재,화학제조,O,null,null
Jiangsu Huahong Technology Co Ltd,2645,심천,기초 소재,컨테이너와 포장,O,null,null
Dongguan Eontec,300328,심천,기초 소재,금속 광업,O,null,null
Loften Environmental A,2379,심천,기초 소재,금속 광업,O,null,null
Limin Chemical Co Ltd,2734,심천,기초 소재,화학제조,O,null,null
Jiangsu Zhengdan Chemical,300641,심천,기초 소재,화학제조,O,null,null
Baichuan Chem A,2455,심천,기초 소재,화학제조,O,null,null
Huangshan Novel A,2014,심천,기초 소재,컨테이너와 포장,O,null,null
HeBei Jinniu Chemical,600722,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Xianglu Tungsten,2842,심천,기초 소재,화학제조,O,null,null
Guitang A,833,심천,기초 소재,종이와 종이 제품,O,null,null
Qifeng Material A,2521,심천,기초 소재,종이와 종이 제품,O,null,null
Zhejiang Changsheng A,300718,심천,기초 소재,다종 조립 제품,O,null,null
Shanxi Yongdong Chemistry,2753,심천,기초 소재,화학제조,O,null,null
Mould Plastic A,700,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhuzhou Smelter,600961,상하이,기초 소재,다종 조립 제품,O,null,null
Lantai Industrial,600328,상하이,기초 소재,화학제조,O,null,null
Jiangsu Aoyang Technology Ltd,2172,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Anhui Leimingkehua,600985,상하이,기초 소재,화학제조,O,null,null
Lonkey A,523,심천,기초 소재,화학제조,O,null,null
